n,TP,FP,FN,TN,accuracy,sensitivity,specificity,f1,roc_auc,pr_auc,brier,ece,subject_id,feature_set,model
120,1,9,29,81,0.6833333333333333,0.03333333333333333,0.9,0.05,0.17666666666666667,0.15972512884393578,0.29001360889942857,0.30075909067251877,Subject09,hjorth_only,svm_rbf
123,12,3,18,90,0.8292682926829268,0.4,0.967741935483871,0.5333333333333333,0.6781362007168459,0.57976350435273,0.15911005518161356,0.1410481312982782,Subject10,hjorth_only,svm_rbf
120,25,86,5,4,0.24166666666666667,0.8333333333333334,0.044444444444444446,0.3546099290780142,0.2507407407407407,0.19895766769949708,0.6887671550126939,0.6850880335936469,Subject11,hjorth_only,svm_rbf
120,13,44,17,46,0.49166666666666664,0.43333333333333335,0.5111111111111111,0.2988505747126437,0.45333333333333337,0.21695834732403646,0.36947517466649504,0.3339678899688163,Subject12,hjorth_only,svm_rbf
120,29,38,1,52,0.675,0.9666666666666667,0.5777777777777777,0.5979381443298969,0.8051851851851852,0.46916224465110234,0.19395909361171246,0.19075351415694436,Subject13,hjorth_only,svm_rbf
120,22,72,8,18,0.3333333333333333,0.7333333333333333,0.2,0.3548387096774194,0.5081481481481481,0.2932428713086002,0.48800271399552353,0.5102662015357293,Subject14,hjorth_only,svm_rbf
120,13,4,17,86,0.825,0.43333333333333335,0.9555555555555556,0.5531914893617021,0.9433333333333334,0.8212698471989213,0.1297612280110188,0.14688112315135607,Subject15,hjorth_only,svm_rbf
120,23,39,7,51,0.6166666666666667,0.7666666666666667,0.5666666666666667,0.5,0.6677777777777778,0.3969193946144794,0.25850645564318464,0.2570498708362332,Subject16,hjorth_only,svm_rbf
120,29,65,1,25,0.45,0.9666666666666667,0.2777777777777778,0.46774193548387094,0.8574074074074075,0.7933530775461164,0.3338397121625298,0.3911118478945632,Subject17,hjorth_only,svm_rbf
120,1,1,29,89,0.75,0.03333333333333333,0.9888888888888889,0.0625,0.952962962962963,0.7621228996349751,0.2212940368190724,0.23747379476941932,Subject18,hjorth_only,svm_rbf
120,16,4,14,86,0.85,0.5333333333333333,0.9555555555555556,0.64,0.9318518518518518,0.6917628296671667,0.12639615495730747,0.16106524809446418,Subject19,hjorth_only,svm_rbf
120,0,0,30,90,0.75,0.0,1.0,0.0,0.5207407407407407,0.31403256300730054,0.24226592300408445,0.24288871140283136,Subject20,hjorth_only,svm_rbf
120,19,22,11,68,0.725,0.6333333333333333,0.7555555555555555,0.5352112676056338,0.7462962962962962,0.41416419546714756,0.2132232361931426,0.16826080751306965,Subject21,hjorth_only,svm_rbf
120,26,11,4,79,0.875,0.8666666666666667,0.8777777777777778,0.7761194029850746,0.9455555555555555,0.8968346029468663,0.0706651605707765,0.05927954616917875,Subject22,hjorth_only,svm_rbf
120,28,50,2,40,0.5666666666666667,0.9333333333333333,0.4444444444444444,0.5185185185185185,0.7848148148148149,0.5708295150770639,0.2748170660723528,0.3115238158888951,Subject23,hjorth_only,svm_rbf
120,14,0,16,90,0.8666666666666667,0.4666666666666667,1.0,0.6363636363636364,0.9559259259259261,0.9095807131973223,0.11191678334475401,0.12897016718678822,Subject24,hjorth_only,svm_rbf
120,16,51,14,39,0.4583333333333333,0.5333333333333333,0.43333333333333335,0.32989690721649484,0.6414814814814814,0.5216564581508133,0.2911224515459824,0.31630356615968225,Subject25,hjorth_only,svm_rbf
120,19,0,11,90,0.9083333333333333,0.6333333333333333,1.0,0.7755102040816326,0.9929629629629629,0.9818686809544764,0.08315566516655375,0.11079189263171972,Subject26,hjorth_only,svm_rbf
120,15,10,15,80,0.7916666666666666,0.5,0.8888888888888888,0.5454545454545454,0.7862962962962963,0.5464126805506315,0.16126743785131115,0.12277658996428283,Subject27,hjorth_only,svm_rbf
120,28,0,2,90,0.9833333333333333,0.9333333333333333,1.0,0.9655172413793104,0.9988888888888888,0.9968055555555555,0.020715206121324794,0.03268778316839513,Subject28,hjorth_only,svm_rbf
120,2,0,28,90,0.7666666666666667,0.06666666666666667,1.0,0.125,0.9444444444444445,0.8219326406989673,0.21046444212645538,0.22176461760644486,Subject29,hjorth_only,svm_rbf
120,27,37,3,53,0.6666666666666666,0.9,0.5888888888888889,0.574468085106383,0.8662962962962963,0.7289727581914361,0.18362252611049798,0.2102237933691895,Subject30,hjorth_only,svm_rbf
69,3,2,27,37,0.5797101449275363,0.1,0.9487179487179487,0.17142857142857143,0.41709401709401717,0.44524120462687194,0.3860079612335724,0.3679179215694972,Subject31,hjorth_only,svm_rbf
120,14,24,16,66,0.6666666666666666,0.4666666666666667,0.7333333333333333,0.4117647058823529,0.665925925925926,0.3214205786153913,0.2222819552625852,0.15678936426154208,Subject32,hjorth_only,svm_rbf
120,23,19,7,71,0.7833333333333333,0.7666666666666667,0.7888888888888889,0.6388888888888888,0.8418518518518519,0.5710144171807916,0.1412166575203668,0.1048427024900453,Subject33,hjorth_only,svm_rbf
